ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,37.50,14.29,25.81,33.33,36.36,32.74,14.13,31.43
2016 Primary,6.67,9.80,0.00,0.00,18.18,20.31,2.08,18.82
2016 Primary Runoff,0.00,1.96,0.00,0.00,0.00,10.51,2.08,9.63
2016 General,43.75,50.91,55.56,66.67,45.45,62.41,48.11,61.10
2018 Primary,23.53,14.55,7.69,0.00,0.00,25.15,5.35,22.89
2018 Primary Runoff,11.76,3.64,2.56,0.00,0.00,13.51,2.15,12.09
2018 General,52.94,47.62,40.43,33.33,20.00,52.76,21.63,49.54
