CONGRESSIONAL DISTRICT,MALE,FEMALE,UNKNOWN,TOTAL
District 1,16.01,16.55,5.41,16.29
District 2,17.60,19.01,2.83,18.35
District 3,18.32,17.92,7.09,18.09
District 4,15.74,20.10,8.61,18.15
District 5,14.56,18.92,6.74,16.84
District 6,17.54,18.55,9.55,18.06
District 7,15.88,16.56,11.40,16.23
District 8,18.39,17.16,3.82,17.70
District 9,20.30,19.26,9.41,19.75
District 10,19.92,20.19,11.80,20.05
District 11,15.42,15.47,7.04,15.44
District 12,20.41,20.26,4.08,20.27
District 13,14.45,17.59,5.76,16.18
District 14,15.46,14.01,3.82,14.69
TOTAL,17.07,18.00,7.19,17.55
