CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,17.0,1846.0,1627.0,0.0,228.0,156.0,0.0,21.0,12.0,0.0,265.0,234.0,0.0,150.0,122.0,9.0,26032.0,24849.0,5.0,13821.0,7862.0,77256.0
Congressional District 2,11.0,872.0,716.0,0.0,125.0,97.0,0.0,16.0,13.0,1.0,149.0,105.0,0.0,88.0,62.0,3.0,17618.0,17605.0,12.0,25588.0,14242.0,77323.0
Congressional District 3,10.0,2321.0,2136.0,1.0,250.0,178.0,0.0,16.0,14.0,0.0,302.0,246.0,0.0,168.0,103.0,21.0,33740.0,32871.0,7.0,10568.0,6144.0,89096.0
Congressional District 4,25.0,2650.0,1783.0,0.0,582.0,358.0,0.0,21.0,21.0,1.0,548.0,365.0,1.0,390.0,363.0,8.0,16552.0,14047.0,16.0,35906.0,18602.0,92239.0
Congressional District 5,35.0,4676.0,3510.0,1.0,628.0,418.0,0.0,14.0,13.0,1.0,598.0,493.0,1.0,525.0,418.0,25.0,18635.0,16975.0,18.0,32389.0,17606.0,96979.0
Congressional District 6,41.0,3294.0,2676.0,1.0,686.0,531.0,0.0,38.0,24.0,0.0,938.0,703.0,6.0,1174.0,1051.0,23.0,36965.0,33487.0,4.0,6602.0,3789.0,92033.0
Congressional District 7,119.0,4450.0,3960.0,5.0,701.0,533.0,0.0,31.0,42.0,4.0,1472.0,1018.0,11.0,1664.0,1852.0,34.0,24990.0,23446.0,23.0,9180.0,5168.0,78703.0
Congressional District 8,9.0,843.0,835.0,0.0,142.0,129.0,0.0,11.0,12.0,1.0,193.0,156.0,0.0,112.0,98.0,5.0,26926.0,27911.0,4.0,11933.0,6938.0,76258.0
Congressional District 9,21.0,2322.0,2356.0,0.0,129.0,108.0,0.0,18.0,23.0,1.0,498.0,353.0,0.0,118.0,74.0,23.0,41898.0,41251.0,1.0,2127.0,1279.0,92600.0
Congressional District 10,31.0,2629.0,2341.0,0.0,261.0,190.0,0.0,16.0,26.0,2.0,423.0,318.0,2.0,251.0,180.0,28.0,35338.0,34453.0,15.0,13315.0,7558.0,97377.0
Congressional District 11,21.0,1917.0,1652.0,2.0,401.0,300.0,0.0,26.0,30.0,0.0,634.0,477.0,0.0,324.0,251.0,17.0,32162.0,30967.0,2.0,7343.0,4032.0,80558.0
Congressional District 12,18.0,1733.0,1621.0,2.0,210.0,161.0,0.0,11.0,17.0,1.0,233.0,217.0,0.0,238.0,202.0,19.0,27676.0,27440.0,16.0,18094.0,10704.0,88613.0
Congressional District 13,24.0,2867.0,1815.0,1.0,479.0,324.0,0.0,25.0,12.0,0.0,561.0,388.0,0.0,204.0,150.0,0.0,12549.0,11871.0,22.0,33754.0,18108.0,83154.0
Congressional District 14,3.0,1339.0,1298.0,0.0,77.0,76.0,0.0,16.0,9.0,1.0,387.0,279.0,0.0,78.0,54.0,7.0,26001.0,26641.0,1.0,2865.0,1696.0,60828.0
TOTAL,385.0,33759.0,28326.0,13.0,4899.0,3559.0,0.0,280.0,268.0,13.0,7201.0,5352.0,21.0,5484.0,4980.0,222.0,377082.0,363814.0,146.0,223485.0,123728.0,1183017.0
