COUNTY NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
JENKINS,0.00,15.09,0.00,0.00,9.090,18.73,5.740,16.31
JOHNSON,7.690,16.45,0.00,0.00,25.00,33.20,7.460,27.37
JONES,4.050,24.52,6.120,0.00,7.690,20.86,3.830,21.01
LAMAR,6.250,15.29,6.150,0.00,7.940,20.95,6.740,18.30
LANIER,3.030,22.37,6.670,0.00,11.11,20.93,14.50,20.34
LAURENS,3.450,18.26,7.770,3.570,6.670,25.82,9.040,22.17
LEE,1.970,20.06,2.990,7.690,9.350,16.72,5.940,16.16
LIBERTY,6.020,19.35,4.300,1.920,5.630,17.81,4.400,15.54
LINCOLN,16.67,39.47,7.140,9.090,6.670,37.64,17.27,36.53
LONG,2.560,15.91,3.570,6.670,6.060,13.70,5.370,12.44
LOWNDES,5.830,9.150,3.810,6.450,6.180,15.42,4.120,12.25
LUMPKIN,3.660,9.770,7.720,15.94,9.000,17.74,7.690,16.61
MCDUFFIE,2.330,16.14,10.00,14.29,5.880,19.50,4.900,17.25
MCINTOSH,13.33,27.45,7.460,0.00,2.130,22.71,13.87,23.37
MACON,5.260,20.14,1.890,0.00,0.00,20.71,6.990,19.55
MADISON,5.410,14.49,5.240,0.00,10.98,22.54,8.220,20.21
MARION,5.260,13.77,2.820,14.29,12.00,22.52,11.05,18.77
MERIWETHER,7.690,14.58,3.390,9.090,11.54,19.90,7.760,17.02
MILLER,0.00,14.55,4.760,33.33,11.11,31.36,12.38,26.30
MITCHELL,2.330,20.01,4.630,0.00,0.00,18.27,5.130,17.97
MONROE,3.260,20.52,7.340,8.330,11.01,27.11,13.10,24.49
MONTGOMERY,9.090,34.38,1.370,0.00,15.38,33.72,6.610,31.99
MORGAN,10.53,17.87,7.340,12.50,12.82,24.55,11.95,22.42
MURRAY,2.940,4.040,2.200,7.140,5.320,14.11,4.600,12.63
MUSCOGEE,6.350,18.47,6.380,2.600,6.320,21.79,7.670,18.42
NEWTON,7.180,16.53,6.090,8.000,6.750,20.40,6.340,17.06
OCONEE,11.32,22.74,14.69,13.33,12.02,29.69,15.89,27.39
OGLETHORPE,8.700,15.81,4.000,20.00,13.04,24.19,8.560,21.38
PAULDING,5.510,13.14,5.500,4.070,7.590,16.11,8.870,14.52
PEACH,5.260,18.57,3.780,22.22,12.24,18.83,5.560,17.58
PICKENS,11.69,14.62,10.66,4.000,13.24,24.73,8.100,23.23
PIERCE,0.00,13.89,4.230,9.090,4.650,28.81,9.320,25.47
PIKE,21.88,20.98,12.07,12.50,18.18,23.59,11.49,22.32
POLK,5.170,14.91,4.360,0.00,10.09,16.84,4.700,15.51
PULASKI,7.690,10.93,4.760,0.00,14.29,17.73,5.450,15.22
PUTNAM,11.11,29.26,9.090,42.86,11.11,26.20,11.64,25.76
QUITMAN,50.00,29.39,28.57,0.00,0.00,30.48,12.12,29.07
RABUN,10.26,12.28,6.370,27.27,18.60,32.82,17.72,31.26
RANDOLPH,25.00,33.04,0.00,50.00,33.33,29.17,13.49,30.84
RICHMOND,8.220,23.75,6.900,8.770,11.03,28.03,8.880,22.59
ROCKDALE,8.550,20.37,4.840,9.840,9.260,26.12,12.81,20.80
SCHLEY,6.250,19.08,7.140,0.00,0.00,27.71,10.45,25.15
SCREVEN,4.000,24.26,22.73,0.00,0.00,21.78,5.430,21.53
SEMINOLE,10.00,25.68,8.700,0.00,5.000,30.11,10.75,27.69
SPALDING,10.14,14.02,5.590,10.26,9.290,23.84,8.030,19.27
STEPHENS,8.790,10.01,3.850,0.00,8.970,21.43,5.510,19.01
STEWART,0.00,19.92,12.50,0.00,0.00,18.96,6.740,19.00
SUMTER,8.510,19.04,2.840,20.00,21.84,25.86,8.700,21.65
TALBOT,0.00,20.26,5.560,33.33,20.00,20.26,13.74,19.92
TALIAFERRO,0.00,47.23,16.67,0.00,40.00,50.20,18.60,47.20
TATTNALL,8.330,17.84,2.650,14.29,8.330,22.91,3.780,19.45
TAYLOR,0.00,17.52,8.000,0.00,0.00,19.68,8.220,18.05
TELFAIR,5.000,16.35,4.170,0.00,20.00,19.28,3.650,17.62
TERRELL,0.00,17.26,11.11,25.00,7.690,23.74,6.570,18.95
THOMAS,4.350,13.11,5.340,0.00,5.630,14.45,6.370,13.28
TIFT,2.660,11.04,5.810,0.00,14.40,23.26,5.660,18.51
TOOMBS,11.11,16.10,4.520,0.00,3.230,23.80,3.750,19.67
TOWNS,6.450,5.260,5.260,0.00,4.350,21.23,12.82,20.52
TREUTLEN,0.00,28.19,5.560,0.00,20.00,17.94,10.14,20.70
TROUP,2.940,11.28,6.070,8.700,7.000,19.60,7.250,15.88
TURNER,0.00,11.76,4.170,0.00,5.560,25.13,7.650,19.06
TWIGGS,9.090,31.25,2.380,0.00,7.410,24.77,12.94,26.56
UNION,12.77,3.230,15.24,6.250,13.21,32.53,23.90,31.63
UPSON,6.670,15.15,1.790,0.00,15.25,31.55,7.410,25.13
WALKER,4.720,10.13,4.600,9.090,5.170,13.35,6.150,12.10
WALTON,5.040,11.71,5.640,2.560,8.330,19.30,8.420,16.16
WARE,7.920,12.87,5.100,5.000,6.900,20.44,4.190,17.05
WARREN,0.00,15.57,11.11,20.00,11.76,25.14,4.470,18.64
WASHINGTON,0.00,27.67,2.700,0.00,12.12,31.75,6.190,28.50
WAYNE,1.540,18.60,2.170,10.00,12.82,25.06,7.450,22.00
WEBSTER,0.00,17.37,16.67,0.00,0.00,21.26,5.560,19.04
WHEELER,0.00,20.65,0.00,0.00,0.00,16.88,0.980,17.13
WHITE,9.840,13.43,6.290,9.520,11.32,24.30,7.440,22.73
WHITFIELD,5.360,12.15,5.510,7.140,4.230,14.93,5.590,12.48
WILCOX,0.00,14.98,8.570,0.00,0.00,28.12,4.710,23.51
WILKES,5.880,21.88,8.700,0.00,7.140,20.34,7.690,20.18
WILKINSON,7.140,29.99,10.00,0.00,15.00,31.33,8.770,29.80
WORTH,11.54,16.43,1.560,20.00,18.84,24.96,6.680,21.80
TOTAL,7.600,17.03,6.760,7.330,10.04,20.43,9.450,17.54
