COUNTY NAME,MALE,FEMALE,UNKNOWN,TOTAL
APPLING,22.93,21.80,0.00,22.32
ATKINSON,17.49,16.61,0.00,16.99
BACON,17.19,14.26,0.00,15.58
BAKER,18.60,17.53,0.00,18.03
BALDWIN,20.38,20.80,20.00,20.61
BANKS,25.27,23.36,0.00,24.28
BARROW,13.81,13.39,3.75,13.57
BARTOW,13.44,12.49,3.23,12.94
BEN HILL,17.71,15.44,0.00,16.43
BERRIEN,21.79,17.73,12.50,19.65
BIBB,19.70,21.80,1.50,20.84
BLECKLEY,28.60,26.51,0.00,27.46
BRANTLEY,16.57,14.86,0.00,15.67
BROOKS,18.27,17.74,0.00,17.98
BRYAN,12.94,12.15,9.38,12.52
BULLOCH,18.10,17.92,8.11,17.99
BURKE,15.58,15.55,0.00,15.55
BUTTS,16.33,16.10,11.76,16.20
CALHOUN,19.88,20.37,0.00,20.10
CAMDEN,14.85,14.48,0.00,14.65
CANDLER,18.98,16.02,0.00,17.37
CARROLL,18.15,16.85,4.05,17.45
CATOOSA,12.85,10.89,7.02,11.80
CHARLTON,15.36,14.80,0.00,15.05
CHATHAM,14.56,17.07,5.88,15.90
CHATTAHOOCHEE,4.02,5.28,0.00,4.68
CHATTOOGA,17.85,15.29,0.00,16.47
CHEROKEE,16.17,15.12,8.90,15.61
CLARKE,22.59,24.52,12.94,23.61
CLAY,26.93,29.47,0.00,28.38
CLAYTON,10.67,14.76,4.28,12.96
CLINCH,23.83,24.87,0.00,24.38
COBB,15.81,16.99,7.93,16.44
COFFEE,15.13,14.17,0.00,14.59
COLQUITT,21.06,18.59,0.00,19.70
COLUMBIA,21.26,19.27,4.27,20.18
COOK,16.69,14.80,0.00,15.67
COWETA,15.70,15.30,7.97,15.48
CRAWFORD,20.11,19.38,0.00,19.71
CRISP,18.86,18.21,0.00,18.48
DADE,22.55,23.68,0.00,23.09
DAWSON,18.88,18.00,6.25,18.42
DECATUR,13.27,12.50,0.00,12.82
DEKALB,16.83,21.65,1.10,19.47
DODGE,22.19,18.92,0.00,20.40
DOOLY,19.13,18.48,50.00,18.78
DOUGHERTY,16.45,18.96,2.18,17.71
DOUGLAS,14.09,15.49,6.11,14.85
EARLY,23.31,22.99,0.00,23.11
ECHOLS,25.08,21.16,100.0,23.06
EFFINGHAM,13.51,12.99,3.70,13.23
ELBERT,23.88,21.30,0.00,22.47
EMANUEL,23.18,22.22,14.29,22.64
EVANS,25.99,25.22,0.00,25.56
FANNIN,24.61,21.75,0.00,23.10
FAYETTE,20.54,21.27,7.91,20.91
FLOYD,18.77,16.98,0.00,17.80
FORSYTH,22.45,22.65,15.92,22.54
FRANKLIN,21.40,19.02,0.00,20.15
FULTON,15.15,18.19,7.74,16.74
GILMER,23.55,22.48,5.88,22.98
GLASCOCK,29.60,32.61,0.00,31.19
GLYNN,18.05,17.25,6.41,17.59
GORDON,15.91,14.00,0.00,14.90
GRADY,15.24,14.57,12.50,14.87
GREENE,18.38,17.69,10.00,18.00
GWINNETT,13.81,14.99,10.66,14.42
HABERSHAM,21.70,20.69,9.09,21.17
HALL,16.89,16.33,7.78,16.58
HANCOCK,25.87,35.22,0.00,30.87
HARALSON,18.12,15.27,0.00,16.61
HARRIS,23.00,22.00,15.79,22.48
HART,16.82,14.06,0.00,15.34
HEARD,19.81,17.89,0.00,18.79
HENRY,17.04,19.03,10.22,18.12
HOUSTON,15.07,14.37,4.10,14.67
IRWIN,18.10,14.51,25.00,16.17
JACKSON,16.51,15.49,20.51,15.98
JASPER,19.68,19.56,0.00,19.61
JEFF DAVIS,17.64,15.01,0.00,16.23
JEFFERSON,21.34,24.11,12.50,22.87
JENKINS,15.92,16.67,0.00,16.31
JOHNSON,28.19,26.70,0.00,27.37
JONES,21.24,20.85,0.00,21.01
LAMAR,18.87,17.81,0.00,18.30
LANIER,20.98,19.83,0.00,20.34
LAURENS,22.76,21.72,0.00,22.17
LEE,17.08,15.41,0.00,16.16
LIBERTY,15.18,15.85,3.57,15.54
LINCOLN,35.39,37.59,0.00,36.53
LONG,13.43,11.60,12.50,12.44
LOWNDES,13.10,11.57,1.75,12.25
LUMPKIN,16.93,16.30,33.33,16.61
