CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,4.0,635.0,736.0,0.0,63.0,63.0,0.0,9.0,8.0,0.0,63.0,80.0,0.0,95.0,74.0,0.0,21915.0,22293.0,0.0,5393.0,3132.0,54563.0
Congressional District 2,0.0,175.0,182.0,0.0,28.0,38.0,0.0,1.0,4.0,0.0,16.0,25.0,0.0,31.0,14.0,1.0,9682.0,10139.0,0.0,7958.0,4435.0,32729.0
Congressional District 3,1.0,826.0,903.0,1.0,60.0,76.0,0.0,2.0,5.0,0.0,66.0,74.0,0.0,70.0,39.0,0.0,21139.0,22197.0,0.0,1767.0,1045.0,48271.0
Congressional District 4,4.0,719.0,607.0,0.0,129.0,137.0,0.0,5.0,9.0,0.0,84.0,92.0,1.0,97.0,93.0,2.0,12075.0,11676.0,1.0,14477.0,8006.0,48214.0
Congressional District 5,2.0,1110.0,902.0,0.0,96.0,102.0,0.0,0.0,2.0,0.0,57.0,46.0,0.0,58.0,49.0,2.0,6668.0,6913.0,3.0,12645.0,6598.0,35253.0
Congressional District 6,4.0,897.0,1047.0,0.0,150.0,210.0,0.0,2.0,2.0,0.0,149.0,137.0,0.0,176.0,188.0,7.0,23606.0,25017.0,0.0,1005.0,677.0,53274.0
Congressional District 7,21.0,1027.0,1218.0,0.0,126.0,176.0,0.0,6.0,7.0,0.0,150.0,145.0,0.0,140.0,194.0,11.0,16581.0,18169.0,1.0,776.0,545.0,39293.0
Congressional District 8,0.0,227.0,278.0,0.0,37.0,47.0,0.0,4.0,2.0,1.0,28.0,26.0,0.0,48.0,35.0,1.0,16277.0,17815.0,0.0,3212.0,1854.0,39892.0
Congressional District 9,6.0,730.0,917.0,0.0,40.0,55.0,0.0,8.0,9.0,0.0,65.0,50.0,0.0,40.0,16.0,3.0,24571.0,26915.0,0.0,389.0,269.0,54083.0
Congressional District 10,7.0,1038.0,1228.0,0.0,62.0,75.0,0.0,7.0,4.0,0.0,89.0,85.0,0.0,86.0,51.0,7.0,24458.0,26162.0,1.0,3289.0,1972.0,58621.0
Congressional District 11,3.0,790.0,929.0,1.0,158.0,176.0,0.0,6.0,15.0,0.0,128.0,153.0,1.0,105.0,95.0,5.0,25486.0,27147.0,2.0,1301.0,749.0,57250.0
Congressional District 12,2.0,506.0,493.0,1.0,69.0,35.0,0.0,0.0,5.0,0.0,31.0,47.0,0.0,60.0,37.0,5.0,13612.0,14795.0,6.0,7697.0,4695.0,42096.0
Congressional District 13,2.0,597.0,494.0,0.0,102.0,120.0,0.0,3.0,6.0,0.0,89.0,60.0,0.0,67.0,41.0,3.0,9977.0,10363.0,1.0,7028.0,3772.0,32725.0
Congressional District 14,1.0,393.0,461.0,0.0,20.0,33.0,0.0,2.0,1.0,0.0,51.0,44.0,0.0,26.0,16.0,0.0,15473.0,16933.0,0.0,625.0,394.0,34473.0
TOTAL,57.0,9670.0,10395.0,3.0,1140.0,1343.0,0.0,55.0,79.0,1.0,1066.0,1064.0,2.0,1099.0,942.0,47.0,241520.0,256534.0,15.0,67562.0,38143.0,630737.0
