CONGRESSIONAL DISTRICT,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
District 1,5.19,7.31,2.13,7.11,3.50,17.31,4.94,13.19
District 2,1.93,6.07,0.98,3.29,2.73,11.38,2.94,8.19
District 3,3.21,2.93,2.28,5.26,3.64,14.30,5.52,10.88
District 4,2.46,8.69,2.34,3.73,3.93,18.18,4.21,10.88
District 5,1.55,7.17,1.61,0.96,3.08,9.85,3.78,7.35
District 6,2.06,2.99,2.58,1.35,4.36,15.48,4.36,11.78
District 7,1.48,1.74,1.47,2.50,3.49,15.10,4.90,9.72
District 8,2.69,4.49,1.18,3.16,3.38,13.31,3.56,10.14
District 9,2.37,2.77,1.33,9.71,5.37,15.27,7.00,13.61
District 10,3.52,5.36,2.97,6.63,4.18,17.58,7.41,13.63
District 11,3.16,2.95,2.33,6.10,6.12,16.14,6.00,12.76
District 12,2.67,9.22,1.52,2.30,3.28,12.01,4.26,10.35
District 13,2.04,4.39,1.50,4.31,3.45,15.06,3.34,7.51
District 14,2.36,3.42,1.02,1.99,2.75,10.58,3.91,9.29
TOTAL,2.26,5.90,1.81,3.97,3.86,14.52,4.77,10.65
