CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,102.0,13860.0,13864.0,0.0,2095.0,1500.0,0.0,122.0,117.0,2.0,3730.0,2994.0,1.0,1828.0,1430.0,17.0,137491.0,117926.0,19.0,68515.0,48134.0,413747.0
Congressional District 2,60.0,6049.0,6036.0,2.0,1391.0,1026.0,0.0,87.0,65.0,4.0,2293.0,1900.0,0.0,1308.0,1024.0,11.0,93260.0,80912.0,74.0,121171.0,83073.0,399746.0
Congressional District 3,70.0,15749.0,15500.0,8.0,2036.0,1718.0,0.0,78.0,55.0,8.0,3346.0,2797.0,2.0,1898.0,1499.0,59.0,161240.0,141675.0,30.0,55845.0,40127.0,443740.0
Congressional District 4,140.0,15882.0,15559.0,10.0,3938.0,2815.0,2.0,214.0,159.0,10.0,4237.0,3268.0,11.0,3926.0,3819.0,25.0,70508.0,60107.0,73.0,150416.0,108131.0,443250.0
Congressional District 5,170.0,26288.0,26825.0,3.0,3531.0,2898.0,0.0,122.0,87.0,7.0,3325.0,3081.0,14.0,3518.0,3363.0,32.0,69365.0,68544.0,78.0,153499.0,114995.0,479745.0
Congressional District 6,104.0,22721.0,21870.0,15.0,4432.0,3818.0,0.0,160.0,136.0,14.0,6064.0,4990.0,22.0,9101.0,8535.0,106.0,165017.0,149024.0,16.0,32578.0,23608.0,452331.0
Congressional District 7,421.0,23087.0,22695.0,34.0,4716.0,3891.0,4.0,265.0,250.0,46.0,11061.0,8909.0,61.0,11229.0,11228.0,204.0,121273.0,108684.0,120.0,44523.0,31525.0,404226.0
Congressional District 8,52.0,6875.0,7239.0,2.0,1395.0,1091.0,0.0,107.0,83.0,5.0,2553.0,2095.0,0.0,1726.0,1356.0,32.0,136710.0,119347.0,26.0,66657.0,46083.0,393434.0
Congressional District 9,73.0,11573.0,11965.0,2.0,913.0,855.0,0.0,100.0,75.0,12.0,4318.0,4320.0,2.0,1292.0,1065.0,57.0,178258.0,158809.0,5.0,13613.0,10102.0,397409.0
Congressional District 10,109.0,15242.0,15310.0,3.0,1714.0,1559.0,0.0,93.0,73.0,11.0,3129.0,2716.0,1.0,2096.0,1797.0,76.0,151609.0,136285.0,37.0,57372.0,40767.0,429999.0
Congressional District 11,105.0,14008.0,14575.0,16.0,3034.0,2422.0,0.0,187.0,157.0,11.0,6637.0,5426.0,5.0,3427.0,2926.0,77.0,172008.0,153971.0,49.0,40831.0,28770.0,448642.0
Congressional District 12,71.0,11772.0,11644.0,4.0,1883.0,1314.0,0.0,118.0,99.0,5.0,2836.0,2280.0,5.0,2051.0,1573.0,47.0,126208.0,110403.0,44.0,78989.0,55428.0,406774.0
Congressional District 13,103.0,17144.0,15442.0,4.0,3759.0,2670.0,1.0,119.0,89.0,7.0,5491.0,4451.0,9.0,2852.0,2435.0,34.0,72328.0,62693.0,85.0,144105.0,101891.0,435712.0
Congressional District 14,23.0,10896.0,10970.0,1.0,1016.0,912.0,0.0,87.0,64.0,0.0,4654.0,4684.0,1.0,957.0,825.0,20.0,163914.0,142464.0,6.0,17293.0,12455.0,371242.0
TOTAL,1603.0,211146.0,209494.0,104.0,35853.0,28489.0,7.0,1859.0,1509.0,142.0,63674.0,53911.0,134.0,47209.0,42875.0,797.0,1819189.0,1610844.0,662.0,1045407.0,745089.0,5919997.0
