CONGRESSIONAL DISTRICT,MALE,FEMALE,UNKNOWN,TOTAL
District 1,14.19,12.38,2.84,13.19
District 2,8.53,7.93,0.66,8.19
District 3,11.97,9.96,1.13,10.88
District 4,10.64,11.07,2.95,10.88
District 5,6.65,7.95,2.30,7.35
District 6,12.87,10.82,3.97,11.78
District 7,10.93,8.70,3.71,9.72
District 8,11.31,9.18,1.71,10.14
District 9,15.08,12.30,5.96,13.61
District 10,14.90,12.55,6.33,13.63
District 11,14.05,11.65,4.56,12.76
District 12,11.00,9.82,7.95,10.35
District 13,7.83,7.27,2.47,7.51
District 14,10.37,8.34,1.96,9.29
TOTAL,11.46,9.99,3.62,10.65
