CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,3.92,4.58,5.31,0.00,3.01,4.20,0.00,7.38,6.84,0.00,1.69,2.67,0.00,5.20,5.17,0.00,15.94,18.90,0.00,7.87,6.51,13.19
Congressional District 2,0.00,2.89,3.02,0.00,2.01,3.70,0.00,1.15,6.15,0.00,0.70,1.32,0.00,2.37,1.37,9.09,10.38,12.53,0.00,6.57,5.34,8.19
Congressional District 3,1.43,5.24,5.83,12.50,2.95,4.42,0.00,2.56,9.09,0.00,1.97,2.65,0.00,3.69,2.60,0.00,13.11,15.67,0.00,3.16,2.60,10.88
Congressional District 4,2.86,4.53,3.90,0.00,3.28,4.87,0.00,2.34,5.66,0.00,1.98,2.82,9.09,2.47,2.44,8.00,17.13,19.43,1.37,9.62,7.40,10.88
Congressional District 5,1.18,4.22,3.36,0.00,2.72,3.52,0.00,0.00,2.30,0.00,1.71,1.49,0.00,1.65,1.46,6.25,9.61,10.09,3.85,8.24,5.74,7.35
Congressional District 6,3.85,3.95,4.79,0.00,3.38,5.50,0.00,1.25,1.47,0.00,2.46,2.75,0.00,1.93,2.20,6.60,14.31,16.79,0.00,3.08,2.87,11.78
Congressional District 7,4.99,4.45,5.37,0.00,2.67,4.52,0.00,2.26,2.80,0.00,1.36,1.63,0.00,1.25,1.73,5.39,13.67,16.72,0.83,1.74,1.73,9.72
Congressional District 8,0.00,3.30,3.84,0.00,2.65,4.31,0.00,3.74,2.41,20.00,1.10,1.24,0.00,2.78,2.58,3.12,11.91,14.93,0.00,4.82,4.02,10.14
Congressional District 9,8.22,6.31,7.66,0.00,4.38,6.43,0.00,8.00,12.00,0.00,1.51,1.16,0.00,3.10,1.50,5.26,13.78,16.95,0.00,2.86,2.66,13.61
Congressional District 10,6.42,6.81,8.02,0.00,3.62,4.81,0.00,7.53,5.48,0.00,2.84,3.13,0.00,4.10,2.84,9.21,16.13,19.20,2.70,5.73,4.84,13.63
Congressional District 11,2.86,5.64,6.37,6.25,5.21,7.27,0.00,3.21,9.55,0.00,1.93,2.82,20.00,3.06,3.25,6.49,14.82,17.63,4.08,3.19,2.60,12.76
Congressional District 12,2.82,4.30,4.23,25.00,3.66,2.66,0.00,0.00,5.05,0.00,1.09,2.06,0.00,2.93,2.35,10.64,10.79,13.40,13.64,9.74,8.47,10.35
Congressional District 13,1.94,3.48,3.20,0.00,2.71,4.49,0.00,2.52,6.74,0.00,1.62,1.35,0.00,2.35,1.68,8.82,13.79,16.53,1.18,4.88,3.70,7.51
Congressional District 14,4.35,3.61,4.20,0.00,1.97,3.62,0.00,2.30,1.56,0.00,1.10,0.94,0.00,2.72,1.94,0.00,9.44,11.89,0.00,3.61,3.16,9.29
TOTAL,3.56,4.58,4.96,2.88,3.18,4.71,0.00,2.96,5.24,0.70,1.67,1.97,1.49,2.33,2.20,5.90,13.28,15.93,2.27,6.46,5.12,10.65
