COUNTY NAME,MALE,FEMALE,UNKNOWN,TOTAL
APPLING,12.71,11.67,0.00,12.15
ATKINSON,3.65,3.39,0.00,3.51
BACON,20.95,17.47,0.00,19.06
BAKER,15.22,13.13,0.00,14.06
BALDWIN,12.13,9.53,0.00,10.67
BANKS,15.08,10.99,0.00,12.97
BARROW,12.83,10.81,8.89,11.75
BARTOW,13.19,10.63,0.00,11.84
BEN HILL,7.43,6.31,0.00,6.80
BERRIEN,11.20,8.52,0.00,9.76
BIBB,9.89,8.62,0.00,9.17
BLECKLEY,10.70,8.41,0.00,9.45
BRANTLEY,10.50,8.98,0.00,9.70
BROOKS,10.09,8.96,0.00,9.47
BRYAN,12.30,10.40,11.11,11.28
BULLOCH,9.25,7.43,0.00,8.27
BURKE,7.11,6.52,0.00,6.79
BUTTS,19.03,16.72,11.11,17.80
CALHOUN,10.46,10.60,0.00,10.53
CAMDEN,11.02,8.04,0.00,9.38
CANDLER,12.45,9.58,50.00,10.90
CARROLL,11.89,9.30,0.00,10.49
CATOOSA,5.51,3.94,0.00,4.66
CHARLTON,11.59,9.64,0.00,10.54
CHATHAM,15.54,14.78,2.63,15.11
CHATTAHOOCHEE,2.37,1.70,0.00,2.01
CHATTOOGA,7.05,4.86,0.00,5.87
CHEROKEE,15.32,12.62,14.29,13.90
CLARKE,10.18,8.92,0.00,9.49
CLAY,10.73,9.03,0.00,9.74
CLAYTON,4.54,4.83,3.09,4.71
CLINCH,7.78,6.66,0.00,7.16
COBB,13.06,11.02,3.68,11.95
COFFEE,7.37,5.72,0.00,6.47
COLQUITT,13.40,11.34,0.00,12.26
COLUMBIA,10.09,7.70,1.79,8.81
COOK,11.19,8.60,0.00,9.78
COWETA,10.68,8.66,0.00,9.59
CRAWFORD,9.01,8.12,0.00,8.54
CRISP,9.90,7.37,0.00,8.46
DADE,14.00,12.52,0.00,13.22
DAWSON,17.50,14.43,100.0,15.90
DECATUR,5.33,4.47,0.00,4.84
DEKALB,11.24,12.26,0.00,11.81
DODGE,11.26,7.21,0.00,9.06
DOOLY,8.11,5.78,0.00,6.81
DOUGHERTY,13.16,14.09,1.33,13.68
DOUGLAS,8.84,7.30,3.03,7.98
EARLY,6.31,5.81,0.00,6.03
ECHOLS,12.90,10.28,0.00,11.51
EFFINGHAM,11.48,9.80,0.00,10.59
ELBERT,8.26,6.29,0.00,7.19
EMANUEL,10.66,9.67,0.00,10.10
EVANS,14.08,11.58,0.00,12.68
FANNIN,12.18,10.10,0.00,11.09
FAYETTE,16.45,14.38,3.77,15.34
FLOYD,10.90,8.40,0.00,9.53
FORSYTH,15.84,13.28,8.21,14.50
FRANKLIN,9.92,7.52,0.00,8.65
FULTON,8.23,8.27,2.86,8.25
GILMER,24.44,20.74,0.00,22.54
GLASCOCK,28.73,26.32,0.00,27.42
GLYNN,16.51,13.22,3.45,14.68
GORDON,10.70,7.94,0.00,9.24
GRADY,6.28,5.12,0.00,5.64
GREENE,20.55,17.68,0.00,19.00
GWINNETT,10.27,8.15,3.48,9.11
HABERSHAM,14.67,12.22,0.00,13.38
HALL,15.32,12.64,4.05,13.89
HANCOCK,24.45,28.49,100.0,26.65
HARALSON,19.65,17.50,0.00,18.50
HARRIS,11.38,10.04,0.00,10.68
HART,8.05,5.98,0.00,6.93
HEARD,11.46,10.22,0.00,10.81
HENRY,9.68,7.85,0.00,8.68
HOUSTON,11.19,9.47,3.70,10.25
IRWIN,14.30,13.17,50.00,13.70
JACKSON,13.60,10.76,14.29,12.10
JASPER,15.33,13.38,0.00,14.30
JEFF DAVIS,8.72,7.56,0.00,8.09
JEFFERSON,7.32,7.21,0.00,7.25
JENKINS,7.48,6.98,0.00,7.21
JOHNSON,11.26,8.57,0.00,9.79
JONES,11.20,9.60,0.00,10.33
LAMAR,13.56,11.24,0.00,12.31
LANIER,8.85,7.23,0.00,7.96
LAURENS,11.28,9.29,0.00,10.18
LEE,10.98,8.40,0.00,9.60
LIBERTY,7.52,6.01,0.00,6.67
LINCOLN,15.37,13.75,0.00,14.52
LONG,8.84,6.06,0.00,7.30
LOWNDES,10.63,8.06,0.00,9.20
LUMPKIN,22.92,20.48,0.00,21.63
MCDUFFIE,12.97,11.28,0.00,12.02
MCINTOSH,16.22,15.52,0.00,15.85
MACON,6.59,6.32,0.00,6.44
MADISON,14.16,10.30,0.00,12.11
MARION,7.15,6.14,0.00,6.61
