COUNTY NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
APPLING,0.00,4.39,1.59,0.00,2.44,14.68,2.49,12.15
ATKINSON,0.00,4.80,0.00,0.00,0.00,3.37,1.75,3.51
BACON,6.25,2.97,2.22,50.00,0.00,22.79,9.49,19.06
BAKER,0.00,11.47,0.00,0.00,12.50,16.71,16.00,14.06
BALDWIN,4.62,5.05,2.22,0.00,1.94,15.32,4.83,10.67
BANKS,1.75,4.86,0.00,0.00,14.81,13.64,5.08,12.97
BARROW,1.55,2.21,2.86,0.00,2.80,14.22,5.76,11.75
BARTOW,3.41,2.14,2.16,2.63,4.32,13.97,5.43,11.84
BEN HILL,0.00,4.24,0.91,0.00,0.00,8.53,4.00,6.80
BERRIEN,4.00,6.57,0.00,14.29,2.94,10.50,3.95,9.76
BIBB,1.99,4.57,0.90,4.76,1.61,15.29,2.71,9.17
BLECKLEY,0.00,4.74,0.00,0.00,12.50,10.98,3.33,9.45
BRANTLEY,16.67,4.59,0.00,0.00,0.00,10.21,1.82,9.70
BROOKS,9.52,4.57,1.25,0.00,7.14,13.11,5.09,9.47
BRYAN,2.37,3.27,2.85,0.00,2.14,13.81,5.14,11.28
BULLOCH,0.50,1.55,0.70,0.00,2.62,11.83,2.50,8.27
BURKE,2.70,3.96,0.00,0.00,2.04,10.16,1.55,6.79
BUTTS,7.69,4.45,8.79,0.00,7.14,23.19,11.49,17.80
CALHOUN,7.14,9.10,0.00,0.00,0.00,13.13,2.63,10.53
CAMDEN,6.48,3.92,1.89,4.35,2.96,12.35,4.86,9.38
CANDLER,5.88,3.05,0.00,0.00,0.00,14.65,3.10,10.90
CARROLL,3.72,1.89,1.58,0.00,3.45,13.44,4.81,10.49
CATOOSA,0.00,0.68,0.78,7.14,1.09,5.01,2.05,4.66
CHARLTON,17.65,4.64,0.00,0.00,7.69,13.31,4.35,10.54
CHATHAM,5.65,9.42,2.35,4.76,4.23,20.84,4.74,15.11
CHATTAHOOCHEE,0.00,0.79,0.00,0.00,0.00,2.96,0.99,2.01
CHATTOOGA,0.00,3.82,0.00,0.00,4.00,6.42,1.17,5.87
CHEROKEE,4.44,2.39,2.46,8.43,9.02,15.55,8.34,13.90
CLARKE,2.41,4.06,1.84,8.70,2.53,13.48,4.20,9.49
CLAY,0.00,4.82,0.00,0.00,0.00,16.91,0.00,9.74
CLAYTON,0.95,3.14,1.07,4.23,2.25,15.30,2.01,4.71
CLINCH,11.11,2.67,0.00,0.00,0.00,9.16,7.32,7.16
