ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,7.41,25.00,16.87,50.00,33.33,32.86,21.31,30.41
2016 Primary,0.00,1.36,1.12,0.00,4.17,8.79,3.86,7.46
2016 Primary Runoff,0.00,0.45,0.00,0.00,0.00,2.04,0.00,1.61
2016 General,51.72,54.24,46.53,100.0,53.57,56.01,43.84,54.13
2018 Primary,2.56,5.83,2.74,0.00,5.56,11.38,5.15,9.70
2018 Primary Runoff,0.00,2.54,0.00,0.00,2.78,11.91,3.49,9.52
2018 General,32.43,51.00,27.91,18.75,44.74,47.61,31.09,44.52
