ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,37.81,39.04,0.00,38.44
2016 Primary,15.77,14.12,0.00,14.93
2016 Primary Runoff,6.14,6.33,0.00,6.24
2016 General,60.13,65.09,0.00,62.67
2018 Primary,14.81,16.07,0.00,15.42
2018 Primary Runoff,16.05,15.13,0.00,15.58
2018 General,52.73,55.59,40.00,54.12
