ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,35.85,35.10,26.32,35.45
2016 Primary,17.70,15.68,9.68,16.63
2016 Primary Runoff,6.74,6.39,0.00,6.55
2016 General,59.80,62.45,65.31,61.20
2018 Primary,13.44,12.49,3.23,12.94
2018 Primary Runoff,13.04,10.64,6.56,11.78
2018 General,53.49,54.83,45.83,54.18
