ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,20.59,22.11,0.00,21.40
2016 Primary,3.14,2.80,0.00,2.95
2016 Primary Runoff,2.11,1.37,0.00,1.70
2016 General,51.04,56.30,64.29,53.93
2018 Primary,7.04,9.49,14.29,8.35
2018 Primary Runoff,3.81,3.63,14.29,3.73
2018 General,47.60,50.98,14.29,49.34
