ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,21.06,22.82,27.27,22.09
2016 Primary,6.37,5.16,0.00,5.66
2016 Primary Runoff,4.02,2.41,0.00,3.08
2016 General,45.34,54.05,66.67,50.36
2018 Primary,12.10,14.76,0.00,13.52
2018 Primary Runoff,6.32,6.58,0.00,6.45
2018 General,45.44,56.33,63.64,51.30
