ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,17.45,21.86,24.52,0.00,17.19,45.37,13.24,33.53
2016 Primary,0.67,4.87,3.55,0.00,1.43,14.31,0.46,9.15
2016 Primary Runoff,4.00,1.90,1.76,0.00,4.29,17.56,1.85,10.33
2016 General,62.64,49.28,63.64,0.00,58.33,71.60,40.39,62.17
2018 Primary,8.84,15.09,7.14,0.00,9.09,22.31,4.42,16.83
2018 Primary Runoff,4.13,8.74,2.90,0.00,11.11,22.36,1.70,14.46
2018 General,53.33,55.17,47.54,0.00,55.41,63.58,37.88,57.45
