ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,23.15,43.72,44.83,50.00,31.67,52.69,26.94,49.53
2016 Primary,5.41,15.70,7.29,0.00,9.52,25.35,7.14,22.56
2016 Primary Runoff,1.80,2.89,9.38,0.00,9.52,25.54,5.10,21.76
2016 General,58.87,69.77,71.43,71.43,68.12,78.28,50.26,75.45
2018 Primary,12.59,28.02,11.40,11.11,12.68,27.03,10.93,25.15
2018 Primary Runoff,6.62,20.54,6.14,0.00,12.50,26.78,9.44,24.02
2018 General,48.20,73.48,58.77,42.86,61.84,70.25,39.38,67.72
