ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,15.99,26.92,0.00,22.36
2016 Primary,4.24,9.12,0.00,7.09
2016 Primary Runoff,0.80,0.66,0.00,0.71
2016 General,44.16,59.16,75.00,52.96
2018 Primary,7.82,14.99,0.00,11.92
2018 Primary Runoff,1.65,2.57,0.00,2.18
2018 General,37.82,52.79,25.00,46.39
