ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,43.06,44.62,0.00,43.81
2016 Primary,14.40,14.66,0.00,14.51
2016 Primary Runoff,15.35,13.14,0.00,14.20
2016 General,72.45,75.41,66.67,73.93
2018 Primary,19.21,17.92,14.29,18.55
2018 Primary Runoff,20.83,19.64,0.00,20.19
2018 General,66.47,68.21,71.43,67.36
