ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,46.38,47.75,100.0,47.13
2016 Primary,17.28,15.90,0.00,16.54
2016 Primary Runoff,15.64,12.97,0.00,14.22
2016 General,71.85,74.14,100.0,73.07
2018 Primary,21.02,22.55,0.00,21.81
2018 Primary Runoff,20.09,18.79,0.00,19.42
2018 General,64.47,68.82,0.00,66.74
