ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,36.58,40.65,33.33,38.68
2016 Primary,10.36,9.52,0.00,9.91
2016 Primary Runoff,10.19,8.83,33.33,9.51
2016 General,67.04,71.20,33.33,69.16
2018 Primary,17.72,20.47,0.00,19.13
2018 Primary Runoff,16.96,17.37,0.00,17.17
2018 General,58.76,62.64,100.0,60.79
