ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,16.67,23.66,26.52,50.00,32.26,43.53,19.50,38.00
2016 Primary,9.28,4.57,1.48,0.00,4.41,16.77,3.92,13.43
2016 Primary Runoff,3.09,1.20,2.22,0.00,4.48,14.55,0.99,11.07
2016 General,49.54,55.81,61.69,33.33,57.97,70.02,39.79,65.27
2018 Primary,5.79,12.26,7.61,50.00,14.52,18.92,2.94,16.14
2018 Primary Runoff,2.50,2.87,3.23,0.00,5.00,15.67,1.22,12.00
2018 General,46.88,58.95,52.58,66.67,61.64,61.75,29.51,58.64
