ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,10.00,30.10,10.83,25.00,25.71,41.88,19.25,32.07
2016 Primary,0.00,8.68,0.60,0.00,8.57,10.95,5.69,8.71
2016 Primary Runoff,1.59,0.74,0.00,0.00,1.43,10.73,1.42,4.18
2016 General,38.98,66.44,53.47,71.43,55.00,71.06,40.58,65.10
2018 Primary,0.00,16.24,4.02,0.00,10.67,18.56,8.37,15.18
2018 Primary Runoff,2.47,3.49,0.81,20.00,2.74,19.24,1.83,7.92
2018 General,39.53,64.25,40.61,50.00,51.28,62.36,38.35,59.51
