ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,24.21,30.80,25.00,0.00,31.94,41.08,18.97,36.39
2016 Primary,2.02,6.49,3.85,0.00,6.67,13.68,2.59,10.66
2016 Primary Runoff,2.00,1.23,1.28,0.00,9.33,10.08,2.60,7.09
2016 General,67.83,67.47,69.00,80.00,64.10,71.81,48.99,69.21
2018 Primary,10.00,20.02,4.84,0.00,14.47,19.33,8.95,18.10
2018 Primary Runoff,4.92,3.05,2.48,14.29,8.11,13.68,2.72,9.74
2018 General,65.41,64.09,54.92,55.56,64.86,62.87,42.34,61.87
