ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,29.22,35.11,0.00,32.43
2016 Primary,8.56,9.03,0.00,8.81
2016 Primary Runoff,4.95,3.80,0.00,4.31
2016 General,59.29,67.50,75.00,63.83
2018 Primary,12.75,17.46,0.00,15.31
2018 Primary Runoff,6.50,7.13,0.00,6.84
2018 General,54.27,62.02,16.67,58.47
