-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,50.0,42.55,25.0,0.0,30.0,47.35,33.64,45.11
30-34,0.0,41.57,33.33,100.0,60.0,60.17,42.42,56.53
35-39,50.0,52.05,0.0,0.0,14.29,65.69,54.12,63.05
40-44,50.0,56.76,75.0,50.0,100.0,72.06,54.43,69.77
45-49,85.71,72.63,71.43,0.0,33.33,73.4,56.94,72.26
50-54,50.0,66.1,50.0,0.0,50.0,77.11,55.13,74.5
55-59,0.0,73.33,75.0,100.0,100.0,76.08,72.55,75.59
60-64,50.0,78.35,100.0,100.0,50.0,80.19,54.69,78.24
65-OVER,50.0,79.22,66.67,100.0,66.67,80.03,66.35,79.26
TOTAL,48.65,65.9,55.32,71.43,46.81,72.1,52.96,70.06
