-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,16.67,17.89,14.81,50.0,34.48,29.28,20.11,27.0
30-34,27.27,32.73,36.36,66.67,25.0,39.08,31.37,37.59
35-39,40.0,41.28,38.89,50.0,39.29,47.55,36.5,45.64
40-44,40.0,47.32,70.0,33.33,42.11,50.61,36.13,48.53
45-49,61.54,39.06,53.33,33.33,23.08,57.96,37.89,54.87
50-54,46.15,47.83,37.5,71.43,55.56,59.69,44.68,57.54
55-59,62.5,56.35,63.64,50.0,55.56,64.64,44.76,62.26
60-64,55.56,65.6,40.0,66.67,80.0,68.6,54.13,67.07
65-OVER,52.94,59.65,52.38,80.0,85.0,65.08,55.4,64.09
TOTAL,44.44,48.05,43.23,60.0,44.74,56.49,39.87,54.12
