,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,ARABI,58.29,61.74,0.0,60.08
1,CONEY,74.69,72.58,0.0,73.59
2,CORDELE,49.0,54.35,14.29,52.08
3,JAMESTOWN,69.24,72.27,0.0,70.73
4,LISTONIA,64.8,63.53,0.0,64.11
5,TOTAL,54.69,57.99,11.11,56.53
