-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,28.57,41.86,33.33,50.0,28.0,46.32,29.67,43.21
30-34,41.18,46.15,34.88,0.0,57.14,62.5,50.85,59.48
35-39,53.19,52.73,51.06,0.0,62.5,70.85,60.44,68.05
40-44,66.18,64.29,60.78,0.0,68.0,74.54,59.57,72.13
45-49,62.12,62.38,74.07,0.0,73.08,79.13,58.74,76.13
50-54,69.64,65.45,67.44,0.0,65.38,80.05,64.23,77.38
55-59,56.16,71.3,76.19,100.0,68.18,81.45,60.22,78.7
60-64,68.42,81.65,76.47,100.0,30.0,83.78,61.48,81.94
65-OVER,47.69,73.58,63.89,50.0,63.64,82.79,60.99,80.64
TOTAL,55.65,63.82,57.3,41.67,59.28,75.79,56.29,72.86
