,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,MATTHEWS,65.85,68.67,100.0,67.39
1,WRENS,57.44,65.24,75.0,61.84
2,LOUISVILLE,58.13,65.19,50.0,62.1
3,WADLEY,53.74,64.72,0.0,60.08
4,BARTOW,56.52,72.5,0.0,65.29
5,STAPLETON,57.05,63.5,100.0,60.53
6,AVERA,60.0,67.8,0.0,63.94
7,88888,100.0,100.0,0.0,100.0
8,99999,0.0,0.0,0.0,0.0
9,TOTAL,57.57,65.66,66.67,62.1
