-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,104.0,67.0,0.0,12.0,5.0,0.0,3.0,1.0,0.0,15.0,7.0,0.0,3.0,6.0,0.0,267.0,219.0,0.0,107.0,59.0,875.0
30-34,0.0,98.0,72.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,11.0,9.0,0.0,5.0,1.0,0.0,342.0,286.0,0.0,136.0,60.0,1030.0
35-39,0.0,94.0,99.0,0.0,6.0,6.0,0.0,2.0,1.0,0.0,8.0,13.0,0.0,4.0,3.0,0.0,376.0,272.0,0.0,125.0,62.0,1071.0
40-44,1.0,99.0,92.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,14.0,6.0,0.0,4.0,2.0,0.0,359.0,331.0,0.0,124.0,70.0,1113.0
45-49,0.0,116.0,132.0,0.0,8.0,3.0,0.0,1.0,2.0,0.0,20.0,12.0,0.0,11.0,4.0,0.0,479.0,414.0,0.0,173.0,103.0,1478.0
50-54,1.0,119.0,118.0,0.0,7.0,5.0,0.0,1.0,2.0,0.0,14.0,11.0,0.0,10.0,5.0,0.0,585.0,551.0,0.0,199.0,145.0,1773.0
55-59,0.0,124.0,110.0,0.0,11.0,6.0,0.0,3.0,1.0,0.0,12.0,15.0,0.0,8.0,4.0,0.0,756.0,701.0,0.0,227.0,148.0,2126.0
60-64,2.0,111.0,88.0,0.0,3.0,9.0,0.0,1.0,3.0,0.0,12.0,5.0,0.0,8.0,2.0,0.0,696.0,663.0,0.0,186.0,140.0,1929.0
65-OVER,0.0,275.0,276.0,0.0,13.0,10.0,0.0,0.0,2.0,0.0,11.0,10.0,0.0,28.0,11.0,1.0,1684.0,1785.0,0.0,400.0,287.0,4793.0
TOTAL,4.0,1140.0,1054.0,0.0,70.0,53.0,0.0,12.0,13.0,0.0,117.0,88.0,0.0,81.0,38.0,1.0,5544.0,5222.0,0.0,1677.0,1074.0,16188.0
