-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,33.33,34.78,20.83,20.0,26.92,33.8,13.97,31.45
30-34,30.0,5.0,20.0,42.86,33.33,41.02,30.16,39.2
35-39,0.0,30.0,11.11,0.0,38.89,46.64,28.07,44.53
40-44,33.33,40.0,55.0,66.67,36.36,53.42,34.95,51.89
45-49,28.57,0.0,60.0,33.33,66.67,59.0,36.26,57.21
50-54,30.0,70.0,55.56,40.0,36.36,64.75,37.5,62.05
55-59,77.78,57.69,68.42,62.5,50.0,66.57,35.25,64.13
60-64,42.86,69.23,47.06,83.33,76.92,72.78,42.06,70.49
65-OVER,50.0,55.56,50.0,73.68,83.33,73.91,49.87,71.95
TOTAL,40.3,41.91,40.28,56.72,45.9,60.57,36.34,58.19
