-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,3.0,178.0,199.0,0.0,27.0,21.0,0.0,2.0,2.0,0.0,49.0,35.0,0.0,8.0,4.0,0.0,1087.0,1000.0,0.0,988.0,641.0,4244.0
30-34,0.0,142.0,161.0,1.0,21.0,14.0,0.0,3.0,3.0,0.0,37.0,31.0,0.0,12.0,13.0,1.0,976.0,886.0,1.0,806.0,504.0,3612.0
35-39,1.0,128.0,129.0,0.0,23.0,12.0,0.0,4.0,1.0,0.0,42.0,23.0,0.0,9.0,8.0,2.0,944.0,883.0,0.0,798.0,516.0,3523.0
40-44,2.0,83.0,103.0,0.0,15.0,10.0,0.0,1.0,1.0,0.0,26.0,23.0,0.0,13.0,13.0,0.0,936.0,823.0,0.0,704.0,447.0,3200.0
45-49,2.0,97.0,113.0,0.0,21.0,13.0,0.0,1.0,1.0,0.0,26.0,25.0,0.0,12.0,9.0,1.0,1050.0,988.0,0.0,733.0,511.0,3603.0
50-54,0.0,98.0,118.0,0.0,7.0,10.0,0.0,2.0,1.0,0.0,25.0,26.0,0.0,14.0,15.0,1.0,1119.0,1067.0,0.0,697.0,510.0,3710.0
55-59,1.0,115.0,112.0,0.0,17.0,8.0,0.0,2.0,1.0,0.0,20.0,11.0,0.0,15.0,4.0,1.0,1277.0,1063.0,1.0,671.0,504.0,3823.0
60-64,2.0,100.0,107.0,0.0,14.0,9.0,0.0,3.0,1.0,0.0,16.0,8.0,0.0,10.0,6.0,1.0,1257.0,1146.0,0.0,604.0,440.0,3724.0
65-OVER,5.0,264.0,247.0,0.0,12.0,18.0,1.0,2.0,6.0,0.0,24.0,22.0,0.0,30.0,20.0,5.0,4271.0,3501.0,1.0,1275.0,797.0,10501.0
TOTAL,16.0,1205.0,1289.0,1.0,157.0,115.0,1.0,20.0,17.0,0.0,265.0,204.0,0.0,123.0,92.0,12.0,12917.0,11357.0,3.0,7276.0,4870.0,39940.0
