-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,16.0,0.0,0.0,20.0,36.13,22.67,34.08
30-34,100.0,33.33,0.0,0.0,30.0,43.54,15.22,41.41
35-39,0.0,57.69,0.0,0.0,50.0,48.46,25.0,47.28
40-44,0.0,40.0,25.0,0.0,100.0,55.19,30.77,53.61
45-49,0.0,50.0,25.0,50.0,20.0,60.13,23.81,58.04
50-54,50.0,73.91,33.33,0.0,50.0,61.94,20.45,60.08
55-59,0.0,60.0,100.0,0.0,20.0,62.0,33.33,60.59
60-64,0.0,72.22,100.0,0.0,0.0,64.29,29.27,62.77
65-OVER,66.67,74.65,40.0,100.0,50.0,67.93,40.54,67.15
TOTAL,40.0,57.46,29.73,44.44,31.43,57.77,27.25,56.1
