-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,2.0,281.0,195.0,0.0,143.0,71.0,0.0,2.0,6.0,0.0,91.0,81.0,0.0,57.0,41.0,2.0,1030.0,892.0,1.0,1847.0,980.0,5722.0
30-34,6.0,375.0,255.0,0.0,122.0,61.0,0.0,3.0,2.0,0.0,116.0,63.0,0.0,41.0,37.0,1.0,1159.0,980.0,0.0,2045.0,990.0,6256.0
35-39,5.0,470.0,306.0,0.0,148.0,80.0,0.0,3.0,2.0,0.0,141.0,82.0,0.0,56.0,26.0,2.0,1397.0,1152.0,2.0,2757.0,1291.0,7920.0
40-44,2.0,483.0,339.0,1.0,140.0,59.0,0.0,4.0,5.0,0.0,132.0,68.0,0.0,59.0,42.0,1.0,1730.0,1417.0,2.0,3319.0,1714.0,9517.0
45-49,1.0,541.0,389.0,0.0,125.0,114.0,0.0,3.0,6.0,0.0,121.0,104.0,1.0,75.0,66.0,1.0,2297.0,2011.0,3.0,3684.0,2297.0,11839.0
50-54,2.0,458.0,400.0,0.0,134.0,92.0,0.0,1.0,3.0,0.0,103.0,74.0,0.0,48.0,54.0,3.0,2447.0,2363.0,1.0,3210.0,2177.0,11570.0
55-59,0.0,406.0,324.0,0.0,106.0,103.0,0.0,4.0,2.0,0.0,88.0,79.0,0.0,56.0,40.0,1.0,2612.0,2412.0,2.0,2623.0,1794.0,10652.0
60-64,0.0,317.0,248.0,0.0,77.0,74.0,0.0,2.0,0.0,0.0,59.0,47.0,0.0,54.0,39.0,0.0,2211.0,2099.0,0.0,1804.0,1369.0,8400.0
65-OVER,2.0,680.0,533.0,0.0,155.0,109.0,0.0,4.0,1.0,0.0,106.0,82.0,0.0,105.0,103.0,3.0,5885.0,5222.0,4.0,3153.0,2214.0,18361.0
TOTAL,20.0,4011.0,2989.0,1.0,1150.0,763.0,0.0,26.0,27.0,0.0,957.0,680.0,1.0,551.0,448.0,14.0,20768.0,18548.0,15.0,24442.0,14826.0,90237.0
