-,MALE,FEMALE,UNKNOWN
UNKNOWN,23.71,27.86,0.0
OTHER,30.99,38.53,0.0
NATIVE-AM,8.33,43.75,0.0
HISP-LT,22.93,35.44,0.0
ASIA-PI,34.35,27.67,100.0
WHITE,36.62,39.52,0.0
BLACK,30.03,48.0,28.57
