,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,BOLD SPRINGS,47.37,64.29,35.14,33.33,65.71,67.78,49.2,64.21
1,WHATLEY,0.0,62.5,50.0,0.0,42.86,72.3,47.11,68.1
2,WALKER PARK,18.84,58.58,20.51,0.0,59.09,68.66,43.55,62.57
3,GRATIS,20.0,65.96,80.0,0.0,27.27,77.23,58.04,73.54
4,BETWEEN,47.83,64.14,46.15,33.33,48.72,67.49,49.71,64.05
5,WALNUT GROVE,38.46,63.39,45.45,50.0,36.36,63.58,46.98,60.56
6,LOGANVILLE NORTH,45.0,56.61,43.81,50.0,49.15,57.9,35.59,53.11
7,SOCIAL CIRCLE,31.58,53.23,44.83,0.0,56.0,63.38,41.03,58.06
8,SOUTH MONROE,24.0,50.5,33.33,33.33,44.44,58.76,36.68,52.75
9,NORTH MONROE,32.0,48.14,25.0,20.0,51.52,57.04,32.0,48.18
10,LOGANVILLE SOUTH,28.89,56.83,44.16,75.0,62.86,61.73,42.01,56.95
11,WEST WALTON,50.0,59.77,42.25,100.0,34.78,67.87,49.75,63.98
12,BROKEN ARROW,52.38,58.56,53.7,40.0,60.87,61.27,43.14,58.08
13,BAY CREEK,26.09,59.67,44.44,83.33,61.54,67.49,42.92,62.91
14,E MONROE,27.27,39.76,31.71,50.0,36.67,55.96,29.28,45.61
15,W MONROE,88.89,62.29,36.36,50.0,77.78,73.33,46.13,68.3
16,TARA,39.13,66.07,43.06,16.67,51.06,67.49,53.0,63.37
17,MOUNTAIN,33.33,59.41,71.43,50.0,14.29,68.0,42.52,62.89
18,JERSEY,33.33,62.22,36.36,0.0,66.67,70.36,47.95,66.81
19,BLASINGAME,0.0,61.43,0.0,0.0,33.33,78.55,57.94,74.4
20,GOOD HOPE,33.33,57.14,69.57,50.0,9.09,74.21,47.39,68.57
21,99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,TOTAL,34.86,53.6,42.03,41.94,50.51,65.39,42.84,59.6
