-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,20.0,16.67,23.53,0.0,9.09,36.33,22.0,34.22
30-34,66.67,0.0,41.67,0.0,42.86,45.07,31.78,43.46
35-39,20.0,66.67,21.43,0.0,45.45,51.23,40.7,49.42
40-44,40.0,60.0,11.76,0.0,33.33,59.27,50.75,57.93
45-49,42.86,42.86,50.0,66.67,75.0,60.02,42.53,58.69
50-54,66.67,50.0,39.13,33.33,62.5,65.31,48.25,63.61
55-59,66.67,85.71,61.11,0.0,66.67,68.02,56.91,67.3
60-64,37.5,42.86,55.56,0.0,85.71,74.29,62.6,73.28
65-OVER,45.45,83.33,58.33,33.33,76.92,73.88,61.39,73.08
TOTAL,43.4,53.57,38.43,22.73,54.79,65.26,50.25,63.78
