-,MALE,FEMALE,UNKNOWN
UNKNOWN,19.61,24.0,0.0
OTHER,11.76,23.81,0.0
NATIVE-AM,0.0,100.0,0.0
HISP-LT,31.58,20.0,0.0
ASIA-PI,14.29,18.75,0.0
WHITE,32.02,31.88,42.86
BLACK,24.24,19.44,0.0
