,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,DISTRICT 1B,54.97,65.94,0.0,61.0
1,DISTRICT 2,60.68,68.45,100.0,64.8
2,DISTRICT 3,59.55,60.19,0.0,59.88
3,DISTRICT 4,60.4,60.02,0.0,60.17
4,DISTRICT 5,59.9,63.02,100.0,61.49
5,88888,0.0,0.0,0.0,0.0
6,TOTAL,59.34,63.07,66.67,61.28
