PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
COLDWATER,63.79,68.60,0.00,66.24
DIRTSELLER,63.74,64.37,0.00,64.04
HAYWOOD,59.49,58.54,0.00,59.01
LYERLY,63.48,51.04,0.00,56.83
TRION,51.82,48.28,0.00,49.92
SUMMERVILLE,54.21,50.60,0.00,52.20
TELOGA,62.19,62.55,0.00,62.37
DIRTTOWN,65.92,66.97,0.00,66.47
SEMINOLE,62.69,57.33,0.00,59.86
SUBLIGNA,67.86,70.85,0.00,69.35
ALPINE,63.94,64.50,0.00,64.24
99999,0.00,0.00,0.00,0.00
CLOUDLAND,71.01,63.19,0.00,66.36
PENNVILLE,44.93,45.65,0.00,45.32
TOTAL,56.86,53.74,0.00,55.17
