-,MALE,FEMALE,UNKNOWN
UNKNOWN,16.13,21.88,0.0
OTHER,26.32,24.24,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,19.57,34.88,0.0
ASIA-PI,10.53,31.58,0.0
WHITE,34.89,35.68,66.67
BLACK,17.66,26.03,0.0
