PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
ANDERSON,59.04,62.37,50.00,60.74
BALDWIN,64.49,64.91,0.00,64.71
BERLIN,60.12,66.67,0.00,63.37
BUSHVILLE,55.56,55.95,0.00,55.75
COLUMBIA,72.35,72.73,100.0,72.62
DAVIDS,53.96,58.22,100.0,56.13
GOLDEN HILL,53.36,56.72,100.0,55.11
GROVE RIVER,59.27,65.08,0.00,62.05
HOLLINGSWORTH,67.53,61.64,0.00,64.43
HOMER,60.09,58.54,0.00,59.20
POPLAR SPRINGS,61.65,61.25,100.0,61.47
WASHINGTON,61.92,64.26,0.00,62.99
WILMONTS,65.45,65.26,100.0,65.42
88888,0.00,0.00,0.00,0.00
TOTAL,59.88,61.19,54.55,60.53
