-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,32.47,38.57,34.65,36.36,39.1,33.5,24.81,35.35
30-34,28.57,47.0,29.3,33.33,33.33,37.99,31.25,41.84
35-39,27.59,57.46,33.08,33.33,49.46,44.89,42.35,51.41
40-44,39.22,63.82,42.5,12.5,53.85,47.21,49.32,57.6
45-49,46.55,71.52,44.74,66.67,61.11,58.63,50.91,65.44
50-54,46.77,72.48,48.84,33.33,45.9,65.21,53.44,67.34
55-59,44.44,75.37,45.16,30.0,68.75,71.11,58.28,71.15
60-64,54.55,77.69,49.15,60.0,51.11,73.61,60.44,73.45
65-OVER,60.42,75.58,46.15,60.0,63.86,71.79,55.05,70.98
TOTAL,44.56,64.51,39.93,39.44,49.81,62.45,47.25,60.97
