,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,ZETTO,64.39,62.84,0.0,63.43
1,COURT HOUSE,50.34,58.88,0.0,55.37
2,OLD HEAD START,60.98,60.78,0.0,60.87
3,DAYS CROSS ROAD,62.64,67.8,0.0,65.55
4,88888,0.0,33.33,0.0,12.5
5,99999,0.0,0.0,0.0,0.0
6,TOTAL,59.2,62.57,0.0,61.13
