AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,50.0,0.0,0.0,25.0,54.42,18.18,50.0
30-34,0.0,52.11,50.0,0.0,0.0,60.26,26.67,55.34
35-39,0.0,66.67,0.0,0.0,50.0,59.0,47.06,61.83
40-44,0.0,68.07,0.0,0.0,0.0,63.05,47.06,64.51
45-49,33.33,71.81,0.0,0.0,100.0,70.96,56.25,70.48
50-54,100.0,75.11,0.0,0.0,50.0,79.47,26.32,75.78
55-59,0.0,75.0,0.0,0.0,50.0,79.23,40.0,75.93
60-64,0.0,79.92,0.0,0.0,100.0,80.33,26.67,79.0
65-OVER,0.0,80.92,33.33,0.0,33.33,83.01,47.22,81.06
TOTAL,20.0,71.02,25.0,0.0,52.94,74.15,37.85,71.5
