-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,17.86,23.33,0.0,0.0,40.11,30.23,36.9
30-34,20.0,35.71,0.0,0.0,20.0,52.09,38.57,49.04
35-39,40.0,17.65,50.0,0.0,50.0,58.13,41.56,55.59
40-44,25.0,42.11,47.06,0.0,60.0,66.91,28.36,62.85
45-49,40.0,30.0,22.22,0.0,40.0,66.85,37.88,63.16
50-54,57.14,56.25,30.77,0.0,100.0,69.25,40.58,66.51
55-59,50.0,38.89,60.0,0.0,50.0,71.76,36.99,68.38
60-64,45.45,66.67,25.0,0.0,71.43,74.71,35.19,71.65
65-OVER,10.0,66.67,60.0,0.0,50.0,76.04,42.24,73.58
TOTAL,27.63,43.22,33.33,0.0,48.65,66.6,36.75,63.13
