PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
WAVERLY,0.0,64.04,28.57,100.0,37.5,65.73,44.94,62.61
WOODBINE,42.86,60.07,36.36,25.0,35.0,56.55,36.01,53.84
BROWNTOWN,66.67,57.14,0.0,0.0,50.0,51.6,31.71,47.23
HARRIETTS BLUFF,11.11,66.67,33.33,33.33,40.0,56.88,33.88,52.59
WEST KINGSLAND,45.0,44.32,29.31,50.0,43.75,50.08,24.88,43.36
NORTH KINGSLAND,45.0,53.87,40.0,50.0,44.83,45.53,27.13,44.09
KINGSLAND,44.0,44.9,28.95,75.0,27.03,44.35,25.38,39.76
EAST KINGSLAND,35.29,50.54,39.01,15.38,29.17,50.23,34.63,45.84
NORTH ST MARYS,41.18,30.94,12.22,75.0,17.14,32.81,12.5,25.91
MARY LEE CLARK,28.85,53.63,20.59,41.67,40.91,41.0,27.76,39.16
SOUTH ST MARYS,41.67,57.49,29.41,50.0,42.31,61.3,38.65,55.88
MUSH BLUFF,43.48,44.25,37.11,100.0,18.6,51.26,34.32,45.9
WEST SAINT MARYS,50.0,58.05,46.67,57.14,53.57,65.09,50.0,61.58
88888,0.0,0.0,0.0,0.0,0.0,100.0,0.0,25.0
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,37.61,50.77,31.1,45.16,33.73,51.94,31.23,46.63
