PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
BLACKSTOCK,49.24,53.80,0.00,51.56
BOYNTON,56.69,56.51,71.43,56.61
CATOOSA KEITH,56.83,56.45,42.86,56.60
CHAMBERS,66.67,65.38,62.50,65.99
FT OGLETHORPE,49.24,47.08,16.67,47.99
GRAYSVILLE,52.92,52.73,37.50,52.79
LAKEVIEW,43.29,41.85,33.33,42.49
POPLAR SPRINGS,57.76,56.71,33.33,57.16
RINGGOLD,57.60,55.35,33.33,56.36
WESTSIDE,46.73,49.48,37.50,48.25
WOODSTATION,58.02,60.88,33.33,59.45
TOTAL,53.96,53.49,40.91,53.69
