,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,GLENWOOD,62.24,60.34,0.0,61.26
1,88888,66.67,33.33,0.0,50.0
2,TOTAL,62.29,60.09,0.0,61.15
