,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,GEORGETOWN,56.15,58.17,0.0,57.27
1,MORRIS,70.91,66.0,0.0,68.57
2,TOTAL,57.26,58.62,0.0,58.0
