-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,61.36,0.0,0.0,0.0,40.91,25.0,51.39
30-34,0.0,67.5,40.0,0.0,100.0,66.67,0.0,63.77
35-39,0.0,57.63,0.0,0.0,0.0,67.65,50.0,60.82
40-44,0.0,73.91,0.0,0.0,0.0,72.0,25.0,70.67
45-49,0.0,71.15,0.0,0.0,0.0,72.41,100.0,72.41
50-54,0.0,78.33,0.0,0.0,0.0,88.57,75.0,81.82
55-59,0.0,82.67,0.0,0.0,0.0,90.38,50.0,85.27
60-64,0.0,80.6,0.0,0.0,0.0,91.3,50.0,83.76
65-OVER,100.0,86.14,0.0,0.0,100.0,79.7,76.92,82.65
TOTAL,100.0,76.9,28.57,0.0,50.0,78.52,59.52,76.55
