-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,18.75,30.8,26.32,0.0,45.45,51.35,23.03,40.56
30-34,29.41,40.91,23.81,0.0,26.92,60.73,35.4,50.47
35-39,42.11,51.17,11.11,66.67,70.0,65.46,34.62,58.14
40-44,41.18,59.1,27.78,0.0,50.0,68.71,46.74,63.7
45-49,44.44,61.2,52.63,0.0,56.25,72.21,43.88,67.12
50-54,36.84,61.11,37.5,50.0,70.0,74.04,49.07,68.21
55-59,57.14,68.08,53.85,0.0,57.14,78.87,37.11,73.24
60-64,52.63,68.9,57.14,50.0,85.71,80.2,47.5,75.11
65-OVER,60.0,73.7,45.45,50.0,60.0,80.39,53.67,77.68
TOTAL,44.77,58.32,35.2,29.63,53.57,73.01,41.04,66.33
