PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
QUITMAN,44.77,52.57,0.00,49.10
BARWICK,57.86,63.98,0.00,61.16
DIXIE,58.20,66.23,0.00,62.34
BRIGGS,53.04,54.34,0.00,53.70
PAVO,57.81,65.52,0.00,61.90
NANKIN,58.43,60.68,100.0,59.63
MORVEN,54.39,59.29,0.00,56.93
88888,0.00,0.00,0.00,0.00
99999,0.00,2.63,0.00,1.54
TOTAL,51.32,56.52,50.00,54.09
