,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,LOCUST GROVE,40.28,63.15,33.68,66.67,45.35,55.41,47.53,57.02
1,TUSSAHAW,61.11,62.28,31.25,50.0,47.46,64.14,48.72,61.73
2,SANDY RIDGE,48.65,65.52,41.12,60.0,52.11,60.13,50.38,59.32
3,WESTSIDE,20.0,46.22,23.53,20.0,33.04,36.69,32.71,41.49
4,LOWES,28.4,61.08,41.5,28.57,46.03,55.83,44.29,55.75
5,SOUTH HAMPTON,27.91,60.52,47.55,40.0,47.2,59.5,47.81,57.91
6,NORTH HAMPTON,38.78,59.36,48.8,40.0,42.51,56.07,46.89,55.96
7,MOUNT CARMEL,41.06,69.46,52.76,20.0,57.14,57.35,56.81,63.53
8,RED OAK,40.31,67.26,51.41,14.29,41.9,55.26,50.08,60.33
9,WESLEY LAKES,22.77,59.97,40.51,33.33,45.99,61.61,44.12,56.79
10,MCDONOUGH,50.0,61.17,49.15,50.0,57.97,61.61,54.1,60.07
11,MCMULLEN,73.08,71.05,55.88,0.0,55.56,66.8,52.01,65.81
12,EAST LAKE,42.86,72.1,50.0,50.0,53.12,69.19,59.73,67.58
13,HICKORY FLAT,41.18,67.58,42.36,0.0,55.7,66.62,53.35,63.85
14,STOCKBRIDGE EAST-,41.21,58.72,49.01,28.57,47.77,46.64,42.13,53.87
15,STAGECOACH,31.43,57.74,50.0,50.0,50.0,53.73,40.91,53.68
16,COTTON INDIAN,30.0,65.72,44.53,0.0,38.41,57.06,40.27,57.27
17,PLEASANT GROVE,56.52,69.66,46.15,100.0,56.19,67.38,55.99,66.32
18,AUSTIN ROAD,41.67,73.77,45.12,0.0,60.98,60.4,58.0,66.28
19,SWAN LAKE,32.14,65.73,38.37,66.67,32.43,60.86,46.45,59.71
20,SHAKERAG,11.76,66.22,44.64,80.0,55.56,53.74,51.09,62.47
21,ELLENWOOD,32.0,72.55,47.92,40.0,52.69,64.93,55.58,68.64
22,UNITY GROVE,52.0,68.48,42.45,66.67,43.96,64.68,53.4,63.27
23,SHILOH,28.57,55.15,35.71,100.0,41.84,52.86,49.87,52.71
24,PATES CREEK,35.2,62.23,42.59,50.0,47.33,62.96,46.19,59.11
25,OAKLAND,38.54,67.99,45.87,75.0,49.55,64.15,54.16,63.18
26,LAKE DOW,59.52,63.89,53.76,100.0,57.84,66.7,56.64,64.71
27,FLIPPEN,50.52,71.55,53.7,0.0,59.46,66.32,58.62,66.2
28,STOCKBRIDGE CENTRAL,39.33,54.47,34.51,66.67,36.81,51.23,43.57,50.45
29,KELLEYTOWN,20.0,70.84,48.89,100.0,57.53,68.69,61.7,67.72
30,LIGHTHOUSE,26.0,69.7,45.57,42.86,57.61,63.76,46.15,63.89
31,DUTCHTOWN,26.42,66.89,44.23,60.0,52.86,64.31,56.7,62.45
32,MT. BETHEL,40.0,64.27,28.26,62.5,53.03,62.98,53.05,61.61
33,GROVE PARK,33.33,58.2,38.3,33.33,48.86,54.72,42.86,53.63
34,LAKE HAVEN,34.62,66.61,51.4,50.0,52.33,63.16,51.25,62.19
35,MCDONOUGH CENTRAL,32.56,58.78,46.25,0.0,55.67,68.0,47.78,60.96
36,TIMBERRIDGE,57.69,71.94,64.0,0.0,56.76,67.52,60.23,67.37
37,88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,TOTAL,38.82,62.91,42.92,45.81,48.49,61.13,49.02,59.44
