AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,38.73,0.00,100.0,75.00,43.81,27.66,39.01
25-29,0.00,41.45,0.00,100.0,33.33,36.36,42.86,40.06
30-34,0.00,45.20,0.00,0.00,33.33,38.46,45.00,42.96
35-39,100.0,55.23,0.00,0.00,0.00,58.14,47.06,55.60
40-44,100.0,60.00,50.00,100.0,0.00,57.14,29.41,57.35
45-49,100.0,62.23,100.0,50.00,0.00,69.54,66.67,65.82
50-54,0.00,76.92,0.00,0.00,66.67,70.55,69.23,73.56
55-59,0.00,73.08,0.00,0.00,100.0,73.87,60.00,72.78
60-64,33.33,80.57,100.0,0.00,66.67,74.90,61.11,77.23
65-OVER,0.00,74.09,50.00,0.00,100.0,76.47,68.18,75.16
TOTAL,57.14,63.87,40.00,80.00,59.09,67.12,46.91,64.34
