-,MALE,FEMALE,UNKNOWN
UNKNOWN,21.43,24.24,0.0
OTHER,0.0,33.33,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,0.0,0.0,0.0
ASIA-PI,0.0,0.0,0.0
WHITE,34.12,37.87,0.0
BLACK,9.09,21.43,0.0
