PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
PLAINVILLE,0.0,53.0,50.0,0.0,5.0,6.0,0.0,1.0,3.0,0.0,24.0,13.0,0.0,5.0,2.0,0.0,839.0,736.0,0.0,13.0,15.0,1765.0
SONORAVILLE,0.0,70.0,111.0,0.0,11.0,10.0,0.0,2.0,3.0,0.0,90.0,80.0,0.0,13.0,6.0,0.0,2251.0,2128.0,0.0,72.0,84.0,4931.0
PINE CHAPEL,0.0,16.0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,450.0,409.0,0.0,1.0,4.0,916.0
OOSTANAULA,0.0,8.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,268.0,259.0,0.0,35.0,25.0,620.0
OAKMAN,0.0,28.0,29.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,578.0,536.0,0.0,3.0,6.0,1193.0
GORDON COUNTY,1.0,127.0,159.0,0.0,21.0,21.0,0.0,4.0,3.0,0.0,175.0,179.0,0.0,27.0,18.0,1.0,2470.0,2294.0,0.0,87.0,99.0,5686.0
CALHOUN CITY,4.0,176.0,228.0,0.0,34.0,25.0,0.0,8.0,10.0,0.0,402.0,315.0,0.0,48.0,41.0,0.0,3570.0,2726.0,0.0,349.0,266.0,8202.0
LILY POND,1.0,22.0,45.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,19.0,12.0,0.0,6.0,3.0,0.0,771.0,742.0,0.0,38.0,26.0,1692.0
FAIRMOUNT,0.0,43.0,44.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0,5.0,4.0,0.0,1.0,7.0,0.0,860.0,813.0,0.0,10.0,14.0,1810.0
RED BUD,0.0,42.0,55.0,0.0,8.0,6.0,0.0,2.0,2.0,0.0,67.0,50.0,0.0,8.0,10.0,0.0,1173.0,1055.0,0.0,32.0,32.0,2542.0
RESACA,0.0,23.0,44.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,51.0,40.0,0.0,3.0,3.0,0.0,593.0,556.0,0.0,11.0,9.0,1342.0
TOTAL,6.0,608.0,801.0,0.0,92.0,81.0,0.0,21.0,28.0,0.0,850.0,698.0,0.0,113.0,92.0,1.0,13823.0,12254.0,0.0,651.0,580.0,30699.0
