AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,29.93,33.33,0.0,0.0,45.05,22.22,38.71
30-34,0.0,40.0,33.33,0.0,0.0,62.44,33.33,54.32
35-39,25.0,48.1,0.0,0.0,33.33,63.52,50.0,57.88
40-44,0.0,57.27,50.0,0.0,0.0,65.9,50.0,62.57
45-49,100.0,53.33,66.67,0.0,0.0,71.91,66.67,65.72
50-54,0.0,52.17,0.0,0.0,100.0,71.37,16.67,64.15
55-59,0.0,61.4,0.0,0.0,0.0,72.99,37.5,68.77
60-64,0.0,69.49,0.0,0.0,0.0,81.45,44.44,76.17
65-OVER,0.0,67.61,0.0,0.0,100.0,77.74,52.94,74.45
TOTAL,20.0,55.25,22.22,0.0,33.33,70.71,42.03,65.2
