-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,11.54,20.34,27.52,66.67,30.43,37.94,23.48,34.7
30-34,13.64,33.33,24.47,50.0,31.25,48.72,25.97,44.35
35-39,35.71,44.44,29.31,0.0,33.33,54.03,32.74,50.74
40-44,37.5,36.11,34.04,0.0,66.67,60.23,38.85,57.1
45-49,36.11,43.48,50.0,50.0,25.0,66.67,34.78,62.68
50-54,23.08,47.73,45.45,66.67,11.11,68.82,36.73,64.9
55-59,26.09,58.7,28.57,0.0,55.56,72.17,40.65,68.66
60-64,27.27,64.29,38.1,66.67,37.5,75.52,41.67,72.02
65-OVER,34.43,63.64,48.72,25.0,50.0,74.2,50.72,72.38
TOTAL,28.46,46.61,33.21,42.86,37.37,65.63,36.92,61.92
