,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,BACONTON,50.0,57.14,25.0,0.0,12.5,57.19,23.26,54.21
1,BRANCHVILLE,50.0,48.08,33.33,0.0,100.0,72.21,34.78,66.16
2,CAMILLA NORTH,0.0,56.03,9.09,0.0,0.0,69.09,18.05,55.16
3,CAMILLA SOUTH,25.0,51.5,45.45,100.0,40.0,68.83,33.18,57.87
4,COTTON,0.0,0.0,36.36,0.0,66.67,74.09,51.85,71.08
5,HOPEFUL,100.0,64.29,57.14,0.0,0.0,67.87,35.0,65.27
6,HINSONTON,0.0,71.43,0.0,0.0,0.0,82.84,100.0,81.94
7,LESTER,33.33,53.93,22.22,50.0,25.0,57.61,19.63,53.53
8,PEBBLE CITY,0.0,53.85,50.0,0.0,0.0,75.76,33.33,71.9
9,PELHAM,50.0,43.98,20.51,33.33,28.57,60.42,19.74,49.14
10,SALE CITY,0.0,61.67,58.33,0.0,0.0,68.73,47.37,65.94
11,TOTAL,35.71,51.29,32.23,40.0,28.95,65.06,25.8,56.07
