-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,39.52,0.0,0.0,0.0,15.22,16.0,35.4
30-34,0.0,41.67,0.0,0.0,0.0,53.66,23.53,41.92
35-39,0.0,53.96,0.0,0.0,0.0,51.28,28.57,51.92
40-44,50.0,59.09,0.0,0.0,0.0,55.81,36.84,57.43
45-49,100.0,65.02,0.0,0.0,66.67,68.35,36.36,64.18
50-54,0.0,72.32,0.0,0.0,0.0,63.64,46.67,69.55
55-59,100.0,69.27,0.0,0.0,40.0,70.75,53.57,68.31
60-64,0.0,71.5,0.0,100.0,50.0,74.87,68.75,72.34
65-OVER,0.0,72.26,57.14,100.0,100.0,74.47,49.23,72.17
TOTAL,50.0,62.87,33.33,100.0,41.18,68.82,41.23,63.28
